User-ID,Age,ISBN,Rating
243,,0060915544,10
243,,0060977493,7
243,,0156006529,0
243,,0316096199,0
243,,0316601950,9
243,,0316602906,0
243,,0316666343,0
243,,0316693006,0
243,,0316776963,9
243,,0316899984,7
243,,0345311396,0
243,,0345378490,0
243,,0345404793,0
243,,0345465083,0
243,,0375400117,10
243,,0375705856,0
243,,0375727345,0
243,,0380717018,0
243,,0380718332,0
243,,0385497466,0
243,,0385508042,0
243,,0385509456,0
243,,0385511612,0
243,,0385720106,7
243,,0385730586,0
243,,0425092917,0
243,,042511774X,0
243,,0425163407,9
243,,0440224764,0
243,,0440225701,0
243,,0440226430,0
243,,0440234743,0
243,,044023722X,7
243,,0446353205,0
243,,0446360856,0
243,,0446364800,9
243,,0446600474,0
243,,0446605484,0
243,,0446606383,6
243,,0446610399,0
243,,0446612790,0
243,,0449006522,6
243,,0449911004,0
243,,0451162072,0
243,,0452282152,0
243,,051512219X,0
243,,0515130389,0
243,,0517122707,0
243,,0553580388,8
243,,0671023616,0
243,,0671027387,0
243,,0671042572,0
243,,0684848783,0
243,,0743486226,0
243,,140003180X,0
243,,155874262X,5
254,24,006000438X,0
254,24,0060930535,0
254,24,0061020710,0
254,24,0064471047,7
254,24,014028009X,0
254,24,0140298479,0
254,24,014100018X,0
254,24,0142001740,9
254,24,0312305060,0
254,24,0316569321,0
254,24,0316769487,0
254,24,0316776963,0
254,24,0345350499,0
254,24,0345384466,0
254,24,0345387651,0
254,24,0345434803,0
254,24,0373218400,0
254,24,0375724370,0
254,24,0375727345,0
254,24,0380789019,0
254,24,0380789035,10
254,24,0380973650,9
254,24,0380977788,0
254,24,038542017X,0
254,24,0399146431,9
254,24,0399501487,0
254,24,0413537900,0
254,24,0425092917,0
254,24,0425145638,0
254,24,0439064864,9
254,24,0439064872,9
254,24,0439136350,9
254,24,0439136369,9
254,24,0439139597,9
254,24,043935806X,0
254,24,0440211263,0
254,24,0440241413,0
254,24,0440403278,0
254,24,0440967694,0
254,24,0441003257,0
254,24,0441172695,0
254,24,0441569595,0
254,24,0446350109,0
254,24,0446354678,0
254,24,0446356832,0
254,24,0446364762,0
254,24,0446527785,0
254,24,0446605239,0
254,24,0451137965,0
254,24,0451167317,8
254,24,0451167716,0
254,24,0451524934,9
254,24,0451526341,8
254,24,0452277337,0
254,24,0452282152,0
254,24,051510521X,0
254,24,051512317X,0
254,24,051513287X,0
254,24,0553250426,0
254,24,0553250531,0
254,24,0553265741,0
254,24,0553280589,0
254,24,0590353403,9
254,24,0618002219,9
254,24,0618002227,8
254,24,0671021001,7
254,24,0671525743,0
254,24,0671527215,0
254,24,0679735909,0
254,24,067976402X,0
254,24,0679781587,8
254,24,0684833395,0
254,24,0684872153,0
254,24,0684874350,0
254,24,0743225406,0
254,24,0804106304,0
254,24,080410753X,0
507,,0060392452,0
507,,0060934417,0
507,,0060938455,0
507,,0064400026,0
507,,014029628X,0
507,,0142001740,10
507,,0312990456,0
507,,0316666009,0
507,,0345348036,0
507,,0345404769,0
507,,0345413369,0
507,,0345413377,0
507,,0425188787,0
507,,0440236061,0
507,,0446360589,0
507,,0446394521,0
507,,0451184718,9
507,,0553292722,0
507,,055356160X,0
507,,0553564528,7
507,,0553569910,0
507,,0553575538,7
507,,0553576801,7
507,,0553576925,0
507,,055357695X,7
507,,0553578693,0
507,,0553582135,0
507,,0553582526,0
507,,0553583441,7
507,,0553583468,7
507,,068484267X,0
507,,0743460529,0
507,,0786817070,0
507,,0821769340,0
507,,0821769367,0
626,41,0971880107,0
638,20,0316603287,9
638,20,0316666343,10
638,20,0316693006,10
638,20,0316693200,9
638,20,0316769487,10
638,20,0316776963,10
638,20,0316779423,10
638,20,0316779490,9
638,20,0316789089,10
638,20,0316969443,10
638,20,0345339711,10
638,20,0345452550,0
638,20,0374172897,0
638,20,0385420161,9
638,20,0385504209,10
638,20,0385505833,10
638,20,039304016X,0
638,20,0399147128,0
638,20,039914739X,0
638,20,0425184129,9
638,20,0446520802,0
638,20,0446523569,10
638,20,0446525502,9
638,20,0446525537,9
638,20,0446527793,10
638,20,0446531332,10
638,20,0670892963,7
638,20,0679442790,10
638,20,0679746048,7
638,20,0743206045,0
638,20,080411868X,0
638,20,1558747028,10
643,23,0349101779,0
643,23,0552137030,8
643,23,0671894455,7
741,16,0060085444,0
741,16,0312422156,0
741,16,0312971346,0
741,16,0345384350,0
741,16,0380723638,0
741,16,0425124347,0
741,16,0425147517,0
741,16,0425155404,0
741,16,0425166619,0
741,16,044022165X,0
741,16,0446364762,0
741,16,0515118656,0
741,16,0553561618,0
741,16,0765341972,0
882,23,0060502258,0
882,23,0060915544,0
882,23,0064401847,10
882,23,0070212570,0
882,23,0312195516,0
882,23,0312274920,0
882,23,0345416260,0
882,23,0373218400,5
882,23,0373484224,7
882,23,0373484410,0
882,23,0375707972,0
882,23,0375724370,0
882,23,0380018179,10
882,23,0380789019,0
882,23,0385492081,0
882,23,0385504209,10
882,23,0425179672,10
882,23,0440221595,0
882,23,044022425X,0
882,23,0440226430,0
882,23,0440235162,10
882,23,0440514428,0
882,23,0446605239,0
882,23,0446606812,0
882,23,0446610399,0
882,23,0446611867,0
882,23,0449212602,0
882,23,0515130389,0
882,23,0515134368,6
882,23,0515135062,6
882,23,0553250426,10
882,23,0553250531,0
882,23,0553258001,0
882,23,0553278223,0
882,23,0553280589,10
882,23,0553569058,0
882,23,0553571656,0
882,23,0553572997,10
882,23,0670869902,0
882,23,067101420X,4
882,23,0671708635,0
882,23,0679429220,9
882,23,0679457313,0
882,23,067976402X,10
882,23,0679781587,10
882,23,0684874350,0
